age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-12975;-2.2409604549408;440747;12758;10630;2400;0;0.15;0;0;0;0;0;0;0
-12974;-1.1409604549408;455963;16601;13759;2492;0;0.15;2;1840.519868185402;1581.6392321081125;212.75796304065085;31.717298275314207;14.405374761324278;0
-12973;-1.0409604549407998;456434;16983;14061;2458;0;0.15;2;555.4956143920717;385.54999999999995;0;169.94561439207172;0;0
-12972;-1.3409604549407999;454565;16242;12945;2455;0;0.14;0;0;0;0;0;0;0
-12971;-0.24096045494079998;465855;19741;16464;2488;0;0.14;0;0;0;0;0;0;0
-12970;-1.2409604549408;458380;17012;13565;2443;0;0.14;1;1084.7729404118882;1011.6555236000818;0;73.11741681180632;0;0
-12969;-1.0409604549407998;460840;17817;14154;2454;0;0.14;0;0;0;0;0;0;0
-12968;-0.34096045494079985;468409;20017;16472;2441;0;0.14;1;0;0;0;0;0;0
-12967;-1.5409604549407998;457991;16295;12909;2410;0;0.14;1;0;0;0;0;0;0
-12966;-1.7409604549408;457393;15567;12420;2405;0;0.14;0;0;0;0;0;0;0
-12965;-1.9409604549408;455813;14739;11969;2357;0;0.14;0;0;0;0;0;0;0
-12964;-1.6409604549408;461197;15957;12825;2368;0;0.13;1;0;0;0;0;0;0
-12963;-0.9409604549407999;469899;18642;14847;2388;0;0.13;0;0;0;0;0;0;0
-12962;-0.34096045494079985;476219;20822;16688;2392;0;0.13;0;0;0;0;0;0;0
-12961;0.2590395450592;482151;22604;18604;2380;0;0.13;1;12.405417667623329;2.16217000632187;0;10.24324766130146;0;0
-12960;0.2590395450592;483142;22922;18772;2391;0;0.12;1;6912.017015360609;4046.0966907334137;2831.1281639634317;34.792160663762715;0;0
-12959;-0.44096045494079994;476499;18867;16735;2378;0;0.12;0;0;0;0;0;0;0
-12958;-0.5409604549407998;476716;18724;16590;2355;0;0.12;1;0;0;0;0;0;0
-12957;-1.9409604549408;463563;14505;12616;2203;0;0.12;0;0;0;0;0;0;0
-12956;-2.0409604549408;463381;14108;12145;2141;0;0.11;1;590.9948072648036;584.0632771677986;0;6.931530097005088;0;0
-12955;-1.7409604549408;468376;15098;12769;2110;0;0.11;0;0;0;0;0;0;0
-12954;-2.2409604549408;462583;13602;11249;1933;0;0.11;0;0;0;0;0;0;0
-12953;-0.9409604549407999;479865;17897;14898;1970;0;0.1;0;0;0;0;0;0;0
-12952;-1.1409604549408;478946;17551;14185;1896;0;0.1;0;0;0;0;0;0;0
-12951;-1.4409604549408;477239;16841;13289;1781;0;0.1;0;0;0;0;0;0;0
-12950;-0.34096045494079985;489027;20295;16749;1797;0;0.09;0;0;0;0;0;0;0
-12949;-1.1409604549408;483087;18292;14362;1723;0;0.09;1;0;0;0;0;0;0
-12948;-1.6409604549408;479288;16752;12993;1664;0;0.09;0;0;0;0;0;0;0
-12947;-1.5409604549407998;481774;17045;13188;1619;0;0.08;0;0;0;0;0;0;0
-12946;-0.34096045494079985;494875;20852;16879;1646;0;0.08;1;194.02319064535848;192.1;0;1.923190645358477;0;0
-12945;-2.0409604549408;477764;15688;11896;1473;0;0.08;1;0;0;0;0;0;0
-12944;-0.8409604549407999;493291;19847;15375;1557;0;0.07;1;0;0;0;0;0;0
-12943;0.3590395450592001;503536;23120;19202;1589;0;0.07;0;0;0;0;0;0;0
-12942;-0.34096045494079985;499642;21921;17102;1557;0;0.07;1;199.99998629487212;199.99998629487212;0;0;0;0
-12941;-1.1409604549408;493956;19864;14683;1515;0;0.07;1;0;0;0;0;0;0
-12940;-0.5409604549407998;501045;21695;16558;1517;0;0.06;1;228.33995434605825;5.419780811532813;196.68180833169174;11.834156408313286;14.40420879452044;0
-12939;-2.5409604549408;478249;14676;10831;1271;0;0.06;0;0;0;0;0;0;0
-12938;-1.1409604549408;498270;19740;14675;1397;0;0.06;1;1163.4573908329396;907.5900878793233;214.21612132195878;41.651181631657764;0;0
-12937;-1.5409604549407998;493378;18304;13277;1313;0;0.06;1;188.717090053338;159.67947760870155;12.964317516882346;16.073294927754112;0;0
-12936;-2.4409604549408;481982;14852;10708;1166;0;0.05;0;0;0;0;0;0;0
-12935;-1.9409604549408;490497;16913;11925;1188;0;0.05;0;0;0;0;0;0;0
-12934;-1.3409604549407999;498847;19405;13576;1230;0;0.05;0;0;0;0;0;0;0
-12933;-0.040960454940799806;511937;23591;17597;1274;0;0.05;0;0;0;0;0;0;0
-12932;-0.34096045494079985;510843;23289;16781;1252;0;0.05;1;3168.8441855108335;3121.158205651165;0;47.685979859668215;0;0
-12931;-1.9409604549408;492082;18230;11997;1150;0;0.05;0;0;0;0;0;0;0
-12930;-0.9409604549407999;505443;21760;14952;1231;0;0.04;0;0;0;0;0;0;0
-12929;-0.7409604549407999;508198;22645;15635;1227;0;0.04;0;0;0;0;0;0;0
-12928;-1.6409604549408;500021;19720;12930;1141;0;0.04;0;0;0;0;0;0;0
-12927;-0.5409604549407998;513093;23570;16443;1211;0;0.04;0;0;0;0;0;0;0
-12926;-1.0409604549407998;509526;22218;14922;1172;0;0.04;0;0;0;0;0;0;0
-12925;-1.3409604549407999;507517;21317;13987;1156;0;0.04;0;0;0;0;0;0;0
-12924;-0.24096045494079998;519591;25066;17659;1234;0;0.04;0;0;0;0;0;0;0
